arquivo,execucao,tempo_ms 
sample500-149700.gr,1,107,6386 
sample500-149700.gr,2,120,6184 
sample500-149700.gr,3,170,5904 
sample500-149700.gr,4,182,6921 
sample500-149700.gr,5,133,5249 
sample500-149700.gr,6,122,7267 
sample500-149700.gr,7,125,0416 
sample500-149700.gr,8,132,6676 
sample500-149700.gr,9,143,2745 
sample500-149700.gr,10,142,2369 
sample500-199600.gr,1,125,0115 
sample500-199600.gr,2,115,2692 
sample500-199600.gr,3,132,1957 
sample500-199600.gr,4,131,6842 
sample500-199600.gr,5,115,112 
sample500-199600.gr,6,124,7922 
sample500-199600.gr,7,135,8715 
sample500-199600.gr,8,108,5136 
sample500-199600.gr,9,119,5994 
sample500-199600.gr,10,115,7747 
sample500-249500.gr,1,119,4127 
sample500-249500.gr,2,115,266 
sample500-249500.gr,3,116,9092 
sample500-249500.gr,4,116,3543 
sample500-249500.gr,5,120,3607 
sample500-249500.gr,6,118,7243 
sample500-249500.gr,7,143,2346 
sample500-249500.gr,8,117,8 
sample500-249500.gr,9,108,3058 
sample500-249500.gr,10,111,9365 
sample500-49900.gr,1,118,9417 
sample500-49900.gr,2,132,9044 
sample500-49900.gr,3,117,5486 
sample500-49900.gr,4,112,7925 
sample500-49900.gr,5,121,4392 
sample500-49900.gr,6,133,496 
sample500-49900.gr,7,115,701 
sample500-49900.gr,8,117,3893 
sample500-49900.gr,9,139,4738 
sample500-49900.gr,10,132,0511 
sample500-99800.gr,1,131,9628 
sample500-99800.gr,2,114,6899 
sample500-99800.gr,3,117,8844 
sample500-99800.gr,4,113,3293 
sample500-99800.gr,5,121,8935 
sample500-99800.gr,6,115,2682 
sample500-99800.gr,7,114,0443 
sample500-99800.gr,8,106,1975 
sample500-99800.gr,9,143,0858 
sample500-99800.gr,10,125,4704 
