arquivo,execucao,tempo_ms 
sample200-15920.gr,1,110,9744 
sample200-15920.gr,2,153,5539 
sample200-15920.gr,3,122,0865 
sample200-15920.gr,4,110,2384 
sample200-15920.gr,5,121,0948 
sample200-15920.gr,6,120,3045 
sample200-15920.gr,7,117,1265 
sample200-15920.gr,8,116,2819 
sample200-15920.gr,9,116,2493 
sample200-15920.gr,10,129,3387 
sample200-23880.gr,1,113,0076 
sample200-23880.gr,2,116,2223 
sample200-23880.gr,3,111,3645 
sample200-23880.gr,4,112,3652 
sample200-23880.gr,5,104,8371 
sample200-23880.gr,6,123,6117 
sample200-23880.gr,7,111,1107 
sample200-23880.gr,8,117,1193 
sample200-23880.gr,9,113,7021 
sample200-23880.gr,10,107,0711 
sample200-31840.gr,1,155,5777 
sample200-31840.gr,2,117,4621 
sample200-31840.gr,3,116,8091 
sample200-31840.gr,4,113,4228 
sample200-31840.gr,5,119,8561 
sample200-31840.gr,6,115,7749 
sample200-31840.gr,7,121,6161 
sample200-31840.gr,8,121,4237 
sample200-31840.gr,9,117,1689 
sample200-31840.gr,10,124,5128 
sample200-39800.gr,1,125,5347 
sample200-39800.gr,2,119,9545 
sample200-39800.gr,3,112,4984 
sample200-39800.gr,4,128,148 
sample200-39800.gr,5,119,0439 
sample200-39800.gr,6,123,8807 
sample200-39800.gr,7,113,0548 
sample200-39800.gr,8,154,0251 
sample200-39800.gr,9,124,2216 
sample200-39800.gr,10,123,4289 
sample200-7960.gr,1,125,5347 
sample200-7960.gr,2,119,9545 
sample200-7960.gr,3,112,4984 
sample200-7960.gr,4,128,148 
sample200-7960.gr,5,119,0439 
sample200-7960.gr,6,123,8807 
sample200-7960.gr,7,113,0548 
sample200-7960.gr,8,154,0251 
sample200-7960.gr,9,124,2216 
sample200-7960.gr,10,123,4289 
sample500-149700.gr,1,107,6386 
sample500-149700.gr,2,120,6184 
sample500-149700.gr,3,170,5904 
sample500-149700.gr,4,182,6921 
sample500-149700.gr,5,133,5249 
sample500-149700.gr,6,122,7267 
sample500-149700.gr,7,125,0416 
sample500-149700.gr,8,132,6676 
sample500-149700.gr,9,143,2745 
sample500-149700.gr,10,142,2369 
sample500-199600.gr,1,125,0115 
sample500-199600.gr,2,115,2692 
sample500-199600.gr,3,132,1957 
sample500-199600.gr,4,131,6842 
sample500-199600.gr,5,115,112 
sample500-199600.gr,6,124,7922 
sample500-199600.gr,7,135,8715 
sample500-199600.gr,8,108,5136 
sample500-199600.gr,9,119,5994 
sample500-199600.gr,10,115,7747 
sample500-249500.gr,1,119,4127 
sample500-249500.gr,2,115,266 
sample500-249500.gr,3,116,9092 
sample500-249500.gr,4,116,3543 
sample500-249500.gr,5,120,3607 
sample500-249500.gr,6,118,7243 
sample500-249500.gr,7,143,2346 
sample500-249500.gr,8,117,8 
sample500-249500.gr,9,108,3058 
sample500-249500.gr,10,111,9365 
sample500-49900.gr,1,118,9417 
sample500-49900.gr,2,132,9044 
sample500-49900.gr,3,117,5486 
sample500-49900.gr,4,112,7925 
sample500-49900.gr,5,121,4392 
sample500-49900.gr,6,133,496 
sample500-49900.gr,7,115,701 
sample500-49900.gr,8,117,3893 
sample500-49900.gr,9,139,4738 
sample500-49900.gr,10,132,0511 
sample500-99800.gr,1,131,9628 
sample500-99800.gr,2,114,6899 
sample500-99800.gr,3,117,8844 
sample500-99800.gr,4,113,3293 
sample500-99800.gr,5,121,8935 
sample500-99800.gr,6,115,2682 
sample500-99800.gr,7,114,0443 
sample500-99800.gr,8,106,1975 
sample500-99800.gr,9,143,0858 
sample500-99800.gr,10,125,4704 
